"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup","RespMed"
"4191",216.033177774358,216.032407188072,216.034164722339,7216.04192186093,7215.23187720947,7217.27915996895,6,3,0,3,5323,4340,4256,825,710,527,7679,8876,7939,"[1114][M]-","","258",4340
"10809",357.260885372843,357.260285451524,357.261485294162,7234.5959148448,7233.05207661015,7236.13975307945,2,0,2,0,2046,1885,1925,3613,3328,3483,480,510,468,"","","337",1925
"4243",683.091677118496,683.090934334099,683.092419902893,7268.08668168313,7266.67404673372,7269.49931663253,2,1,0,1,2569,2226,2358,1838,1916,2066,2747,2805,2709,"[1133][M]-","","353",2358
"10819",702.021227881657,702.021227881657,702.021227881657,7271.16656971704,7271.16656971704,7271.16656971704,1,0,1,0,1245,1006,1144,1166,1160,1307,1064,1110,1028,"","","1153",1144
"4199",341.067275137622,341.065597616607,341.068779557136,7301.73401744024,7300.51043550945,7304.56554818438,9,3,3,3,5695,5108,4928,4091,4266,3538,4186,7140,6853,"[1120][M]-","","269",4928
"11798",702.021730759218,702.021166582954,702.022294935482,7323.62160089534,7320.53727348802,7326.70592830266,2,0,2,0,1381,1090,1230,1223,1263,1347,1155,1238,1099,"","","347",1230
"4222",371.077956775497,371.075420589254,371.079818291799,7340.27023971893,7338.56076857203,7342.80961176552,9,3,3,3,5526,4972,4543,7283,7436,7183,1666,3176,2939,"[1126][M]-","","270",4972
"4212",894.376245983468,894.373752022821,894.382925133015,7353.85162068531,7352.57963674931,7354.93571384576,9,3,3,3,3005,2521,2706,1802,2134,3076,3301,3468,3247,"[1123][M]-","","341",3005
"4209",247.033042772764,247.031828468652,247.033987982377,7376.2040750798,7374.60605314054,7379.04420576721,9,3,3,3,32805,28971,28841,83487,53164,31701,2750,2227,1776,"[1122][M]-","","64",28971
"8189",683.093849661516,683.093849661516,683.093849661516,7385.03383380596,7385.03383380596,7385.03383380596,1,0,0,1,2616,2415,2644,2047,2184,2217,2900,3159,2921,"","","526",2616
"11400",301.034960032108,301.034960032108,301.034960032108,7405.46926328035,7405.46926328035,7405.46926328035,1,1,0,0,934,779,845,358,331,351,1029,1096,1168,"","","407",845
"10813",702.021668534172,702.021100185577,702.022236882766,7418.11996135503,7417.58320548175,7418.6567172283,2,0,2,0,1379,1190,1329,1201,1283,1510,1203,1339,1165,"","","386",1283
"11814",712.050195153465,712.050195153465,712.050195153465,7446.68894424852,7446.68894424852,7446.68894424852,1,0,1,0,3521,2963,3043,3189,3323,3547,3053,3307,3083,"","","338",3189
"10820",702.021691763509,702.020700708076,702.022952247412,7471.72916132295,7457.56285730275,7474.72035462594,3,0,3,0,1475,1194,1360,1348,1379,1413,1284,1389,1270,"","","1122",1360
"8187",683.092240526559,683.091910743477,683.092570309641,7488.7330622463,7487.39307699866,7490.07304749393,2,0,0,2,3023,2724,2966,2669,2699,2710,3188,3215,3269,"","","345",2966
"6818",403.217442801246,403.217398485628,403.217487116865,7518.96335224677,7518.76743439568,7519.15927009787,2,0,1,1,4846,4228,4219,6061,5506,5870,3012,3318,3052,"[1364][M]-","","293",4228
"6839",473.988615768325,473.988615768325,473.988615768325,7547.35161928946,7547.35161928946,7547.35161928946,1,0,0,1,2810,2517,2576,2675,2597,3039,2562,2665,2582,"","","349",2597
"5234",248.079906991704,248.0790785401,248.080330238774,7552.80384122327,7547.61357611058,7565.978287747,5,2,2,1,6135,3549,3632,3388,3044,5190,4842,5167,4111,"","","278",4111
"4219",281.062918985353,281.062518901351,281.064489189383,7577.27569574882,7576.00461309077,7579.73083622709,5,1,3,1,1844,1602,1628,1755,1570,2020,1670,1670,1625,"","","381",1670
"4220",221.154765899915,221.154048044249,221.155605788149,7599.23248100333,7596.84948159456,7600.91660400524,9,3,3,3,16019,18152,16218,16493,15446,15966,16986,15370,16886,"[1125][M]-","","190",16218
"5243",248.07928204115,248.07928204115,248.07928204115,7617.24585117061,7617.24585117061,7617.24585117061,1,1,0,0,4778,2638,2996,2502,2477,4111,4068,4265,3499,"","","321",3499
"4254",368.976804803068,368.975333968804,368.978764038535,7694.13525996788,7692.95210093619,7697.30970100309,9,3,3,3,4996,4143,4023,4101,4368,4792,4782,4751,4439,"","","315",4439
"5087",297.152811372646,297.152068878759,297.153382598894,7716.0633512829,7714.975275723,7719.39579591942,6,2,2,2,3455,2990,3135,3232,3085,3502,3403,3358,3453,"","","1099",3358
"4234",712.048112581126,712.046554666601,712.052164306894,7744.65907327977,7740.43113006434,7763.56487396313,9,3,3,3,4699,4168,4331,4317,4531,4764,4075,4477,4206,"[1128][M]-","","322",4331
"5233",321.174414849422,321.173803774221,321.17649809388,7768.5053365686,7767.21082143914,7771.62866980538,9,3,3,3,31093,26262,27393,27247,26563,31225,28847,29519,28927,"[1185][M]-","","139",28847
"4246",199.169996989217,199.169660178445,199.171256702887,7784.5469580585,7783.21499951886,7787.72972123955,9,3,3,3,4884,4309,4333,4816,4330,5509,4750,4458,4502,"","","161",4502
"5230",311.1688890346,311.168081358753,311.170807897523,7784.5469580585,7781.69737989445,7787.72972123955,9,3,3,3,22856,19222,20220,19942,19747,22242,21933,21628,20860,"[1183][M]-","","724",20860
"12210",715.403489881721,715.403489881721,715.403489881721,7811.87693504894,7811.87693504894,7811.87693504894,1,0,1,0,1200,1050,1094,1189,1099,1168,1010,1035,1092,"","","404",1094
"11821",327.240396598035,327.240396598035,327.240396598035,7813.08789202364,7813.08789202364,7813.08789202364,1,0,1,0,631,581,548,578,590,598,606,540,541,"","","1231",581
"12215",975.530353664391,975.530353664391,975.530353664391,7821.93799475199,7821.93799475199,7821.93799475199,1,0,1,0,602,602,625,636,668,686,596,578,547,"","","417",602
"5231",311.168752659877,311.168339739011,311.171037167761,7831.24933629918,7829.66835225505,7834.01270252232,9,3,3,3,16696,13829,14104,14364,14003,16017,15384,15207,14850,"[1184][M]-","","827",14850
"6877",601.356606686137,601.356606686137,601.356606686137,7835.20070683886,7835.20070683886,7835.20070683886,1,0,0,1,1462,1421,1364,1493,1497,1617,1449,1326,1405,"","","200",1449
"10836",683.384695329728,683.380675717854,683.388714941603,7842.92053675475,7833.1116557175,7852.729417792,2,0,2,0,1063,1085,1027,1053,1005,1220,1111,1030,1024,"","","402",1053
"5190",325.18439991529,325.183453397847,325.186571649886,7855.13866325235,7853.27174637429,7858.15513613026,9,3,3,3,46984,30828,36027,31958,32282,43252,39047,42313,35859,"[1179][M]-","","106",36027
"4396",729.419509976699,729.419509976699,729.419509976699,7875.29840590036,7875.29840590036,7875.29840590036,1,1,0,0,1827,1576,1620,1821,1877,1817,1687,1570,1503,"","","271",1687
