	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqc	treatment1	treatment2	pooled_R1.mzXML	pooled_R2.mzXML	Pooled_R3.mzXML	Treatment1_R1.mzXML	Treatment1_R2.mzXML	Treatment1_R3.mzXML	Treatment2_R1.mzXML	Treatment2_R2.mzXML	Treatment2_R3.mzXML
4868	727.502392788902	727.50052240705	727.50470193071	8018.072	8012.046	8026.053	5	3	2	0	1738	1532	1612	NA	1819	1871	NA	NA	NA
9259	909.608260340152	909.6077311467	909.61152237448	8018.072	8016.64	8018.121	3	1	2	0	NA	NA	1578	1606	NA	1663	NA	NA	NA
9276	985.639690220136	985.639690220136	985.639690220136	8018.072	8018.072	8018.072	1	1	0	0	NA	NA	1637	NA	NA	NA	NA	NA	NA
9247	1141.72315161914	1141.72315161914	1141.72315161914	8018.072	8018.072	8018.072	1	1	0	0	NA	NA	1045	NA	NA	NA	NA	NA	NA
11576	595.456861720371	595.454111602708	595.459611838033	8018.077	8018.033	8018.121	2	1	1	0	NA	1056	NA	1145	NA	NA	NA	NA	NA
12204	1023.66650572667	1023.66650572667	1023.66650572667	8018.121	8018.121	8018.121	1	0	1	0	NA	NA	NA	1249	NA	NA	NA	NA	NA
8652	112.985371737576	112.985371737576	112.985371737576	8018.723	8018.723	8018.723	1	0	0	1	NA	NA	NA	NA	NA	NA	852	NA	NA
7289	999.658559759692	999.655149742026	999.667051048552	8018.723	8012.046	8034.074	5	1	2	2	NA	1604	NA	NA	1730	1693	1663	1648	NA
7287	841.569352383362	841.569176596757	841.569528169967	8018.9445	8017.85	8020.039	2	1	0	1	NA	1922	NA	NA	NA	NA	NA	1981	NA
4871	837.56758463635	837.560548599509	837.574225344748	8018.957	8012.056	8020.037	4	2	1	1	1700	NA	1510	NA	1624	NA	NA	1594	NA
7303	956.638874183057	956.63769959693	956.640048769183	8018.958	8015.845	8022.071	2	0	1	1	NA	NA	NA	NA	1038	NA	NA	1042	NA
4877	989.633659299408	989.632755774873	989.634562823943	8019.036	8018.033	8020.039	2	2	0	0	1365	1169	NA	NA	NA	NA	NA	NA	NA
4880	693.492154536513	693.485988090331	693.49686008767	8019.099	8014.633	8022.042	4	2	2	0	1043	NA	1060	1045	NA	1041	NA	NA	NA
7279	812.554844658396	812.551395062992	812.558294253801	8019.2495	8015.845	8022.654	2	0	1	1	NA	NA	NA	NA	NA	1066	NA	1012	NA
7339	889.59170878087	889.58800498175	889.592523061994	8019.854	8016.055	8020.728	3	0	1	2	NA	NA	NA	NA	1519	NA	1289	1320	NA
7351	969.654088767483	969.651236448716	969.656941086249	8019.959	8016.055	8023.863	2	0	1	1	NA	NA	NA	NA	1716	NA	NA	1620	NA
4869	809.550693424898	809.545690423789	809.552555828962	8020.037	8018.033	8022.131	5	3	0	2	1663	1607	1598	NA	NA	NA	NA	1570	1437
4883	963.618032083743	963.61415773673	963.624022008653	8020.037	8014.051	8024.088	4	3	1	0	1172	1207	1131	NA	1314	NA	NA	NA	NA
4937	1139.72217542669	1139.72217542669	1139.72217542669	8020.037	8020.037	8020.037	1	1	0	0	1025	NA	NA	NA	NA	NA	NA	NA	NA
4887	625.476303590314	625.474522304253	625.478084876375	8020.0375	8014.024	8026.051	2	2	0	0	1805	1718	NA	NA	NA	NA	NA	NA	NA
4905	789.528719294011	789.521040095911	789.529698783287	8020.039	7994.583	8026.051	3	2	1	0	1358	1247	NA	NA	NA	1636	NA	NA	NA
12585	691.476482583307	691.476482583307	691.476482583307	8020.065	8020.065	8020.065	1	0	1	0	NA	NA	NA	NA	883	NA	NA	NA	NA
12597	1013.67288470007	1013.67288470007	1013.67288470007	8020.065	8020.065	8020.065	1	0	1	0	NA	NA	NA	NA	1669	NA	NA	NA	NA
9251	731.47004464197	731.47004464197	731.47004464197	8020.077	8020.077	8020.077	1	1	0	0	NA	NA	1289	NA	NA	NA	NA	NA	NA
9264	1101.70029608089	1101.70029608089	1101.70029608089	8020.077	8020.077	8020.077	1	1	0	0	NA	NA	1177	NA	NA	NA	NA	NA	NA
9912	711.501246406972	711.498200374289	711.504292439654	8020.083	8016.117	8024.049	2	1	0	1	NA	1645	NA	NA	NA	NA	NA	NA	1620
9907	867.590135962026	867.587635207564	867.598293456752	8020.125	8016.028	8020.126	3	1	1	1	NA	1798	NA	1945	NA	NA	NA	NA	1805
12228	953.650472026433	953.650472026433	953.650472026433	8020.125	8020.125	8020.125	1	0	1	0	NA	NA	NA	1628	NA	NA	NA	NA	NA
11162	735.504107142969	735.504107142969	735.504107142969	8020.649	8020.649	8020.649	1	0	1	0	NA	NA	NA	NA	NA	1084	NA	NA	NA
5018	644.961349663605	644.956842727532	644.96647211789	8020.728	8020.039	8022.131	9	3	3	3	1401	1430	1309	1393	1457	1495	1311	1318	1424
4975	967.642862895775	967.638913134248	967.64663827575	8020.728	8016.055	8022.042	3	1	1	1	1623	NA	NA	NA	1579	NA	1477	NA	NA
8548	1049.6774265636	1049.6774265636	1049.6774265636	8020.728	8020.728	8020.728	1	0	0	1	NA	NA	NA	NA	NA	NA	1027	NA	NA
7274	943.615918467349	943.612329081796	943.619507852902	8020.962	8020.065	8021.859	2	0	1	1	NA	NA	NA	NA	1832	NA	NA	1710	NA
7320	807.551136947086	807.547169617835	807.556651541055	8020.9625	8016.64	8022.131	4	0	2	2	NA	NA	NA	NA	1322	1413	NA	1316	1260
7341	857.584118354252	857.579210202471	857.589026506032	8020.9625	8019.854	8022.071	2	0	1	1	NA	NA	NA	NA	1993	NA	NA	1857	NA
9281	975.622985549294	975.62153850303	975.624432595557	8021.0605	8014.063	8028.058	2	2	0	0	NA	1104	1294	NA	NA	NA	NA	NA	NA
11591	925.613448249678	925.612993316302	925.613903183055	8021.085	8014.112	8028.058	2	1	1	0	NA	1663	NA	1819	NA	NA	NA	NA	NA
11174	779.539793283255	779.539758000025	779.539828566484	8021.3465	8020.039	8022.654	2	1	1	0	NA	1281	NA	NA	NA	1410	NA	NA	NA
4916	821.548974485195	821.543236423673	821.551686629653	8021.405	8018.033	8028.058	4	3	0	1	1408	1227	1263	NA	NA	NA	1208	NA	NA
4972	905.591823040707	905.587663375012	905.600102871107	8021.405	8016.026	8023.863	4	2	0	2	1260	NA	1255	NA	NA	NA	1173	1283	NA
5134	870.599001597607	870.595245017459	870.603995799818	8022.044	8020.125	8030.062	3	2	1	0	1176	1116	NA	1136	NA	NA	NA	NA	NA
11587	987.651679303919	987.647461608253	987.65603309694	8022.071	8018.121	8030.064	3	1	2	0	NA	1445	NA	1475	1507	NA	NA	NA	NA
9273	797.545584281831	797.542949146519	797.548219417143	8022.076	8008.035	8036.117	2	1	1	0	NA	NA	1863	NA	2178	NA	NA	NA	NA
9320	886.606638843922	886.606638843922	886.606638843922	8022.081	8022.081	8022.081	1	1	0	0	NA	NA	1060	NA	NA	NA	NA	NA	NA
9284	1075.68896403375	1075.68896403375	1075.68896403375	8022.081	8022.081	8022.081	1	1	0	0	NA	NA	1031	NA	NA	NA	NA	NA	NA
4979	609.475615702076	609.465093971013	609.479219001316	8022.1005	8008.619	8036.076	6	3	3	0	1448	1337	1367	1405	1400	1445	NA	NA	NA
